increment_code,total_time,initial_time,increment,Speed_Category,Time_ID
6+6,9.5,6,6,Rapid,402
4+15,26.25,4,15,Rapid,403
5+8,11.666666666666668,5,8,Rapid,404
15+10,27.166666666666664,15,10,Rapid,405
10+1,10.7,10,1,Rapid,406
5+6,8.4,5,6,Rapid,407
10+10,13.5,10,10,Rapid,408
5+8,8.2,5,8,Rapid,409
5+8,7.4,5,8,Rapid,410
5+8,18.2,5,8,Rapid,411
5+8,13.0,5,8,Rapid,412
180+180,567.0,180,180,Classic,413
180+180,261.0,180,180,Classic,414
180+180,408.0,180,180,Classic,415
8+3,10.75,8,3,Rapid,416
4+6,10.4,4,6,Rapid,417
5+8,14.2,5,8,Rapid,418
5+8,9.133333333333333,5,8,Rapid,419
6+10,18.0,6,10,Rapid,420
10+25,24.166666666666668,10,25,Classic,421
3+10,11.5,3,10,Rapid,422
10+10,20.0,10,10,Rapid,423
30+30,65.0,30,30,Classic,424
5+10,25.666666666666664,5,10,Rapid,425
10+1,10.266666666666667,10,1,Rapid,426
5+5,9.333333333333332,5,5,Rapid,427
7+4,11.2,7,4,Rapid,428
7+4,16.4,7,4,Rapid,429
8+5,13.25,8,5,Rapid,430
5+8,12.2,5,8,Rapid,431
5+5,18.416666666666664,5,5,Rapid,432
7+3,11.25,7,3,Rapid,433
7+2,13.8,7,2,Blitz,434
10+5,12.166666666666666,10,5,Rapid,435
20+10,25.83333333333333,20,10,Classic,436
10+15,20.75,10,15,Rapid,437
10+15,18.5,10,15,Rapid,438
20+5,25.5,20,5,Rapid,439
6+3,7.45,6,3,Blitz,440
15+10,28.33333333333333,15,10,Rapid,441
10+15,19.0,10,15,Rapid,442
5+15,24.25,5,15,Rapid,443
5+15,13.25,5,15,Rapid,444
5+8,12.466666666666669,5,8,Rapid,445
45+15,77.25,45,15,Classic,446
10+10,29.0,10,10,Rapid,447
10+5,17.666666666666664,10,5,Rapid,448
10+5,15.25,10,5,Rapid,449
15+20,27.0,15,20,Classic,450
5+7,11.416666666666668,5,7,Rapid,451
30+10,44.16666666666666,30,10,Classic,452
6+8,21.73333333333333,6,8,Rapid,453
10+15,23.75,10,15,Rapid,454
15+5,26.25,15,5,Rapid,455
15+5,20.666666666666664,15,5,Rapid,456
15+5,17.416666666666668,15,5,Rapid,457
15+5,16.166666666666668,15,5,Rapid,458
10+15,12.25,10,15,Rapid,459
3+8,13.666666666666666,3,8,Rapid,460
30+5,36.75,30,5,Classic,461
30+5,38.58333333333333,30,5,Classic,462
15+10,23.33333333333333,15,10,Rapid,463
25+25,52.5,25,25,Classic,464
20+8,22.8,20,8,Rapid,465
10+10,18.0,10,10,Rapid,466
5+5,9.083333333333332,5,5,Rapid,467
6+9,16.2,6,9,Rapid,468
8+5,11.333333333333332,8,5,Rapid,469
8+5,8.75,8,5,Rapid,470
5+5,9.666666666666666,5,5,Rapid,471
8+5,19.0,8,5,Rapid,472
5+5,11.416666666666666,5,5,Rapid,473
7+5,13.25,7,5,Rapid,474
14+8,27.866666666666667,14,8,Rapid,475
10+5,10.75,10,5,Rapid,476
6+4,10.133333333333333,6,4,Rapid,477
10+2,11.8,10,2,Rapid,478
5+5,12.0,5,5,Rapid,479
15+15,39.5,15,15,Classic,480
15+15,33.5,15,15,Classic,481
15+15,16.5,15,15,Classic,482
15+15,38.5,15,15,Classic,483
15+15,32.0,15,15,Classic,484
15+15,22.0,15,15,Classic,485
15+15,35.5,15,15,Classic,486
15+15,19.5,15,15,Classic,487
15+15,30.75,15,15,Classic,488
15+5,17.916666666666668,15,5,Rapid,489
15+5,22.25,15,5,Rapid,490
15+5,18.0,15,5,Rapid,491
15+5,22.75,15,5,Rapid,492
15+5,19.416666666666664,15,5,Rapid,493
15+5,18.5,15,5,Rapid,494
15+5,21.416666666666664,15,5,Rapid,495
15+5,16.75,15,5,Rapid,496
15+5,18.58333333333333,15,5,Rapid,497
15+5,21.75,15,5,Rapid,498
15+15,38.0,15,15,Classic,499
15+15,34.5,15,15,Classic,500
15+15,46.0,15,15,Classic,501
15+15,27.25,15,15,Classic,502
15+15,42.5,15,15,Classic,503
10+1,11.133333333333333,10,1,Rapid,504
15+15,34.25,15,15,Classic,505
8+8,15.466666666666669,8,8,Rapid,506
8+8,13.866666666666667,8,8,Rapid,507
8+8,12.133333333333333,8,8,Rapid,508
5+10,23.83333333333333,5,10,Rapid,509
10+1,11.9,10,1,Rapid,510
5+8,10.866666666666667,5,8,Rapid,511
7+3,9.65,7,3,Rapid,512
5+5,6.416666666666666,5,5,Rapid,513
5+5,15.333333333333332,5,5,Rapid,514
15+4,17.8,15,4,Rapid,515
6+4,6.266666666666667,6,4,Rapid,516
10+5,12.416666666666666,10,5,Rapid,517
10+10,21.33333333333333,10,10,Rapid,518
15+15,43.75,15,15,Classic,519
15+15,29.25,15,15,Classic,520
10+5,14.833333333333332,10,5,Rapid,521
9+20,24.0,9,20,Rapid,522
20+10,28.0,20,10,Classic,523
15+10,19.33333333333333,15,10,Rapid,524
15+10,20.33333333333333,15,10,Rapid,525
20+15,30.25,20,15,Classic,526
20+60,43.0,20,60,Classic,527
15+15,31.75,15,15,Classic,528
5+10,14.5,5,10,Rapid,529
10+10,13.166666666666666,10,10,Rapid,530
10+8,16.266666666666666,10,8,Rapid,531
20+5,21.916666666666668,20,5,Rapid,532
15+15,36.0,15,15,Classic,533
20+2,22.933333333333337,20,2,Rapid,534
15+8,19.133333333333333,15,8,Rapid,535
15+10,16.666666666666668,15,10,Rapid,536
10+5,15.166666666666666,10,5,Rapid,537
5+5,8.583333333333332,5,5,Rapid,538
15+5,16.916666666666668,15,5,Rapid,539
7+2,7.233333333333333,7,2,Blitz,540
7+2,7.133333333333334,7,2,Blitz,541
7+2,7.6,7,2,Blitz,542
10+5,11.0,10,5,Rapid,543
9+10,21.166666666666664,9,10,Rapid,544
15+15,17.0,15,15,Classic,545
10+5,18.0,10,5,Rapid,546
15+15,20.25,15,15,Classic,547
15+15,26.5,15,15,Classic,548
180+180,501.0,180,180,Classic,549
10+15,20.5,10,15,Rapid,550
8+7,13.133333333333333,8,7,Rapid,551
8+7,10.45,8,7,Rapid,552
8+7,12.316666666666666,8,7,Rapid,553
15+3,18.05,15,3,Rapid,554
15+15,35.0,15,15,Classic,555
15+20,51.0,15,20,Classic,556
10+10,22.0,10,10,Rapid,557
8+5,16.75,8,5,Rapid,558
20+5,28.166666666666664,20,5,Rapid,559
7+2,10.8,7,2,Blitz,560
7+2,9.233333333333334,7,2,Blitz,561
7+2,11.266666666666666,7,2,Blitz,562
7+2,7.4,7,2,Blitz,563
7+2,10.066666666666666,7,2,Blitz,564
7+2,8.866666666666667,7,2,Blitz,565
7+2,11.066666666666666,7,2,Blitz,566
4+6,10.8,4,6,Rapid,567
4+6,8.2,4,6,Rapid,568
4+6,6.6,4,6,Rapid,569
4+6,11.7,4,6,Rapid,570
4+6,8.5,4,6,Rapid,571
5+5,6.083333333333333,5,5,Rapid,572
5+5,7.0,5,5,Rapid,573
